Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_at_Onboarding,Avg_Trans_Value,Trans_to_Limit_Ratio,Activity_Per_Relationship
0,65,M,1,Unknown,Married,$40K - $60K,Blue,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,60.5,50.53651782623745,0.14447497037108628,4.3326112314614225
0,56,M,1,College,Single,$80K - $120K,Blue,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,53.0,90.52408681842243,0.1309675660822427,5.664778407197601
0,35,M,3,Graduate,Unknown,$60K - $80K,Blue,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,32.5,39.72606890700282,0.1533871354408406,6.59868026394721
0,57,F,2,Graduate,Married,Less than $40K,Blue,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,53.0,54.13606427364574,0.6444989144093126,5.7988402319536085
0,44,M,4,Unknown,Unknown,$80K - $120K,Blue,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,40.916666666666664,49.924076886041256,0.3183749838509721,5.398920215956808
0,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,45.0,61.88659679271138,0.05502683653219493,4.49925012497917
0,41,M,3,Unknown,Married,$80K - $120K,Blue,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,38.166666666666664,48.95004999761916,0.07595123192085468,5.248687828042989
0,61,M,1,High School,Married,$40K - $60K,Blue,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,56.333333333333336,44.53184893836872,0.4184151523911204,14.992503748125937
0,45,F,2,Graduate,Married,Unknown,Blue,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,41.916666666666664,57.47345364506452,0.08341395415245652,3.499416763872688
0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,43.5,43.628013777267505,0.0561513868081707,5.398920215956808
1,62,F,0,Graduate,Married,Less than $40K,Blue,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,57.916666666666664,43.24729704393475,0.4811232141255551,7.9960019990005
0,41,M,3,High School,Married,$40K - $60K,Blue,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,38.25,51.71934892505971,0.2082773583272129,4.498875281179704
0,47,F,4,Unknown,Single,Less than $40K,Blue,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,44.0,48.95439328724838,0.45184572558357716,7.664111962679107
0,54,M,2,Unknown,Married,$80K - $120K,Blue,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,50.5,52.85462597019189,0.09085699510051608,5.248687828042989
0,41,F,3,Graduate,Single,Less than $40K,Blue,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,38.666666666666664,47.77055588382346,0.13529864375661124,3.6660556573904346
0,59,M,1,High School,Unknown,$40K - $60K,Blue,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,55.166666666666664,52.04121559932177,0.0809659036143193,5.748562859285178
0,63,M,1,Unknown,Married,$60K - $80K,Blue,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,58.333333333333336,47.59881002974926,0.18639254171389705,13.328890369876708
0,44,F,3,Uneducated,Single,Unknown,Blue,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,41.166666666666664,58.44119771123826,0.10415840552887073,3.5992801439712054
0,47,M,4,High School,Married,$40K - $60K,Blue,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,43.5,27.499276334833297,0.21839075895699916,6.332277953674387
0,53,M,3,Unknown,Married,$80K - $120K,Blue,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,50.25,41.518339266429344,0.3770430886149333,8.330556481172943
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,49.0,61.38225452867197,0.6511625250254895,12.993503248375813
0,41,M,4,Graduate,Married,$60K - $80K,Blue,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,38.0,66.205574767718,0.17807910141442324,5.998500374906273
0,53,F,2,College,Married,Less than $40K,Blue,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,49.833333333333336,50.39105746223349,0.5324526292631587,5.5988802239552085
0,58,M,0,Graduate,Married,$80K - $120K,Blue,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,53.916666666666664,53.789425440606635,0.10282755055136993,3.999333444425929
0,55,F,1,College,Single,Less than $40K,Blue,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,52.0,32.72016929838841,0.39971579553528536,10.747313171707072
0,55,F,3,Graduate,Married,Less than $40K,Blue,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,52.0,50.7283586930083,0.6184511965564427,6.16563906015664
0,42,F,4,High School,Married,Less than $40K,Gold,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,39.0,43.90709513203945,0.06259314050455903,10.994502748625688
0,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,52.916666666666664,52.28384700546409,0.3986927018810725,9.330223258913696
1,66,F,0,Doctorate,Married,Unknown,Blue,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,61.333333333333336,43.99725017186425,0.08931742079200447,3.199360127974405
0,45,M,3,Graduate,Single,$80K - $120K,Blue,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,41.583333333333336,39.60572836684404,0.03420094880031614,13.993003498250875
0,51,M,2,Unknown,Married,$40K - $60K,Blue,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,47.333333333333336,48.10542480625692,0.21708296259742746,6.998250437390651
0,50,F,1,College,Single,$40K - $60K,Silver,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,46.416666666666664,53.210508772461445,0.10147942085763864,10.996334555148284
0,49,M,3,High School,Married,$60K - $80K,Blue,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,45.916666666666664,54.8732852098372,0.44956465704949894,6.39872025594881
0,38,F,4,Graduate,Single,Unknown,Blue,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,35.666666666666664,45.30237815747141,0.10600202380447367,11.49425287356322
0,49,M,4,Uneducated,Single,$80K - $120K,Blue,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,46.5,51.56958680047141,0.0418356692016552,9.330223258913696
0,56,M,2,Doctorate,Married,$60K - $80K,Blue,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,52.25,64.47909336691234,0.762592745250659,4.49925012497917
0,59,M,1,Doctorate,Married,$40K - $60K,Blue,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,54.666666666666664,63.66430872930632,0.6746465170147107,8.997000999666778
0,46,M,3,High School,Married,$80K - $120K,Blue,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,42.666666666666664,45.07240472575089,0.0625449654360692,6.748312921769557
0,52,M,1,College,Single,$80K - $120K,Blue,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,48.666666666666664,28.499287517812057,0.24025284715429984,7.998400319936012
0,52,F,3,Unknown,Married,Less than $40K,Blue,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,48.583333333333336,62.59791340288657,0.7162468664199594,4.999166805532411
1,54,F,1,Graduate,Married,Less than $40K,Blue,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,50.666666666666664,37.10331035208673,0.4901616560094167,9.495252373813093
0,66,F,0,High School,Married,Less than $40K,Blue,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,61.5,51.20917870582353,0.6136863406854807,12.662445851382873
0,49,M,2,Unknown,Married,$120K +,Blue,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,46.0,40.39884574726437,0.07154783830654059,8.747813046738315
1,56,M,2,Graduate,Married,$120K +,Blue,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,53.0,40.13065795613626,0.03817616601077012,14.985014985014987
0,49,F,4,Graduate,Unknown,Less than $40K,Blue,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,46.0,32.87397268835349,0.3189811040081552,5.332444592567905
0,49,F,3,Graduate,Single,Less than $40K,Blue,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,46.0,32.374190645233874,0.4621697137153056,19.990004997501252
0,56,M,2,Uneducated,Married,$40K - $60K,Blue,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,51.833333333333336,49.10175511189269,0.3194256798058143,7.248187953011747
0,44,F,5,Graduate,Married,Unknown,Blue,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,41.083333333333336,54.35782568697252,0.21664272012709707,6.248437890527367
0,42,M,2,High School,Single,$60K - $80K,Blue,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,39.166666666666664,43.257657123810226,0.35011979912476043,6.748312921769557
0,55,M,3,Unknown,Married,$80K - $120K,Blue,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,51.083333333333336,33.2414169267598,0.31926649613897085,8.247938015496125
1,48,M,2,Graduate,Married,$60K - $80K,Silver,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,45.083333333333336,46.06359576028265,0.020019700428215888,7.496251874062969
0,39,M,1,High School,Divorced,$60K - $80K,Blue,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,36.25,46.998321488518265,0.22207218662298572,5.5988802239552085
0,44,M,4,Post-Graduate,Single,$120K +,Blue,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,41.333333333333336,49.075035575554786,0.05326209236289634,12.993503248375813
0,53,M,2,High School,Single,$120K +,Blue,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,49.333333333333336,56.0410416938394,0.08748472326016538,5.748562859285178
0,51,M,4,Uneducated,Single,$80K - $120K,Silver,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,47.833333333333336,40.404987344145496,0.03746088661893364,7.9980004998750305
0,57,M,2,College,Married,$60K - $80K,Blue,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,52.666666666666664,38.65603839890289,0.20549814618800938,6.998600279944011
0,44,F,2,Uneducated,Single,Less than $40K,Blue,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,42.333333333333336,40.42712760258562,0.54318591977643,4.665889018496917
0,49,M,2,Graduate,Married,$60K - $80K,Blue,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,46.333333333333336,98.22951591082877,0.9899223533358902,8.495752123938031
0,50,M,2,Doctorate,Married,$80K - $120K,Blue,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,46.833333333333336,55.79628024798347,0.03308300264494061,2.4995834027662056
0,51,M,4,Graduate,Single,$120K +,Blue,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,47.5,37.803956001073146,0.044906708630585566,13.662112629123627
0,55,F,2,Graduate,Married,Less than $40K,Blue,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,51.5,42.77658953917947,0.6949455347718705,7.198560287942411
0,54,M,1,Graduate,Unknown,$60K - $80K,Blue,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,50.416666666666664,59.80667587257749,0.43161497195361787,5.248687828042989
0,42,M,5,Uneducated,Married,$80K - $120K,Blue,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,38.916666666666664,39.82743350189995,0.06083882246590047,5.832361273121146
0,44,M,1,College,Single,$60K - $80K,Blue,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,41.083333333333336,55.872671972001164,0.05515794442423723,7.997334221926025
0,53,M,2,Graduate,Single,$80K - $120K,Blue,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,50.0,39.05942244174419,0.2444991948977248,6.59868026394721
0,44,F,4,Graduate,Single,Less than $40K,Blue,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,41.0,48.34572409895222,0.15885712016326856,3.832694550908182
0,37,F,3,Uneducated,Single,Less than $40K,Blue,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,34.583333333333336,41.03436781810846,0.3323386853738725,14.246438390402398
0,49,M,3,Graduate,Divorced,$60K - $80K,Blue,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,46.5,63.82331202991174,0.5788641250535784,3.832694550908182
0,47,M,2,Graduate,Married,$80K - $120K,Blue,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,43.833333333333336,38.11319676580669,0.04615278002515984,5.832361273121146
0,47,M,3,Graduate,Married,$60K - $80K,Blue,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,43.916666666666664,35.535718641008756,0.17007118360322357,10.247438140464883
0,44,M,1,Unknown,Unknown,$120K +,Blue,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,41.0,55.273956070480324,0.046442228345050754,4.832527912014664
1,55,F,4,Unknown,Married,$40K - $60K,Blue,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,51.25,51.24572952253979,0.28498596617888494,5.997001499250375
0,59,F,1,Graduate,Married,Unknown,Blue,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,54.666666666666664,53.39733013349332,0.10539819348680612,9.995002498750626
0,53,M,1,Graduate,Divorced,$80K - $120K,Blue,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,50.083333333333336,58.88670789970742,0.04606559143395552,5.398920215956808
0,52,M,2,Graduate,Married,$60K - $80K,Blue,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,48.083333333333336,43.741607382646215,0.4962721243850488,6.998600279944011
0,53,M,2,High School,Single,$120K +,Blue,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,50.083333333333336,39.09551304796619,0.06365545884162506,7.748062984253936
0,43,F,3,Uneducated,Single,Less than $40K,Blue,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,40.083333333333336,38.65504202993657,0.3072527801160506,6.39872025594881
0,44,M,3,High School,Single,$60K - $80K,Blue,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,41.416666666666664,100.92136275980288,0.11077139300945492,3.4991252186953257
0,57,M,2,Unknown,Married,$120K +,Blue,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,53.25,52.27405951518913,0.28788448767860086,5.7988402319536085
0,51,F,2,High School,Single,Less than $40K,Blue,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,48.0,60.759011475644016,0.1284994835347952,6.9976674441852715
0,49,M,4,High School,Single,$80K - $120K,Blue,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,45.833333333333336,44.684437587497506,0.049964856879277465,8.747813046738315
0,45,M,1,Graduate,Single,$40K - $60K,Blue,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,42.0,43.086968030352054,0.22277977147509556,8.49787553111722
0,53,M,0,Graduate,Single,$80K - $120K,Blue,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,49.5,44.34329850694803,0.48273255152682,5.7988402319536085
0,45,F,3,Unknown,Married,Unknown,Blue,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,42.666666666666664,65.59672016399179,0.5175540364678357,3.999200159968006
0,64,M,1,Graduate,Married,Less than $40K,Blue,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,59.666666666666664,52.27961626199182,0.9789344769254085,5.332444592567905
0,45,M,3,Graduate,Married,$40K - $60K,Blue,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,42.083333333333336,43.765207826405785,0.3801388592533702,5.9988002399520095
0,53,M,3,Doctorate,Married,$40K - $60K,Blue,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,50.083333333333336,38.30861169972144,0.4246501914356845,8.398320335932812
0,56,M,3,College,Married,$120K +,Blue,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,51.833333333333336,60.94416083364033,0.11951696568098197,6.331222925691437
1,47,M,2,Unknown,Married,$80K - $120K,Blue,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,43.916666666666664,46.44186434086995,0.15342261820102437,8.995502248875562
0,49,F,3,College,Single,Unknown,Blue,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,45.416666666666664,58.588245988818684,0.055965610630183626,5.4986253436640835
0,41,F,3,Unknown,Married,Unknown,Silver,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,38.166666666666664,57.19010807276643,0.0430814682152779,5.198960207958408
0,53,M,3,Graduate,Married,$120K +,Blue,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,50.166666666666664,38.15035908002788,0.4282311468601541,5.499083486085652
0,44,F,2,Graduate,Single,Less than $40K,Blue,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,41.333333333333336,86.5275648290114,0.42824136316682176,4.998333888703765
0,44,M,3,High School,Unknown,$60K - $80K,Blue,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,41.916666666666664,36.05776300697038,0.6584314401549731,11.329556814395202
0,43,F,4,Post-Graduate,Married,Less than $40K,Blue,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,40.25,42.323180454582314,0.18736537600318545,18.490754622688655
0,53,M,2,Post-Graduate,Single,$120K +,Blue,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,50.0,48.6643493166992,0.02960945562610223,3.499416763872688
0,44,M,1,Uneducated,Married,$60K - $80K,Blue,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,41.0,41.16529449018366,0.08546712211300193,5.9988002399520095
0,62,F,1,Unknown,Married,Less than $40K,Blue,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,57.333333333333336,44.33990136587805,1.3564615473395347,7.332111314780869
0,54,M,4,Unknown,Divorced,$120K +,Blue,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,51.0,33.77310409341634,0.030984580776402572,5.165805699050158
0,57,M,4,Graduate,Married,$60K - $80K,Blue,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,53.75,41.93618949407831,0.15851639989175526,7.9980004998750305
0,42,M,3,Unknown,Married,$60K - $80K,Blue,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,39.0,52.71177562973192,0.07336956035461556,4.199160167966406
0,42,M,4,High School,Divorced,$60K - $80K,Blue,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,39.0,35.74183594754436,0.38338940135170047,6.998600279944011
0,54,F,0,Uneducated,Married,Less than $40K,Blue,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,51.0,54.37273446939711,0.8734933912360165,11.99400299850075
0,48,M,3,Graduate,Single,$80K - $120K,Blue,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,45.083333333333336,37.512499662171294,0.10242785754351283,6.16563906015664
0,49,M,1,Graduate,Single,$80K - $120K,Blue,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,46.0,68.60729959446697,0.06539235066227096,2.9995000833194467
0,52,M,3,High School,Unknown,$80K - $120K,Blue,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,48.0,58.02616593983501,0.17443218316364537,11.996001332889037
0,50,M,3,High School,Single,$80K - $120K,Blue,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,46.75,65.03739850405984,0.16318745853196923,6.248437890527367
0,49,M,1,Doctorate,Married,$60K - $80K,Blue,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,46.0,46.28973792758635,0.04598700086977934,5.998500374906273
0,53,F,2,High School,Married,Less than $40K,Blue,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,49.333333333333336,40.867345596168526,0.2896306807850278,12.662445851382873
0,50,M,2,Graduate,Single,$120K +,Blue,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,47.0,81.8398584724252,0.030826282569640675,4.331889370209931
0,55,F,1,Doctorate,Married,Less than $40K,Blue,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,52.0,42.86059101410296,0.39161928430394316,7.248187953011747
0,53,M,1,High School,Married,$80K - $120K,Blue,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,49.083333333333336,43.656745875108555,0.13529602550187364,12.662445851382873
0,47,F,3,High School,Single,$40K - $60K,Blue,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,43.583333333333336,33.914172038892794,0.42080242323061684,11.747063234191451
0,55,M,2,College,Single,$120K +,Silver,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,51.5,30.18975738672889,0.03673658486682742,20.989505247376314
0,47,M,3,Graduate,Single,$60K - $80K,Blue,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,44.0,54.33106953876921,0.44565945124420664,5.998500374906273
0,58,M,4,Graduate,Single,$120K +,Blue,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,53.666666666666664,45.598480050664975,0.04263010150731999,4.999166805532411
1,53,M,2,Graduate,Married,$80K - $120K,Blue,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,49.583333333333336,31.30298682665971,0.06170194003754049,7.664111962679107
0,52,M,2,High School,Single,$40K - $60K,Blue,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,48.25,52.44646736319437,0.11240022817024621,9.663445518160614
0,50,F,1,Uneducated,Unknown,Less than $40K,Silver,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,47.0,37.898736708776376,0.095642656826829,7.498125468632841
0,42,F,1,Graduate,Married,Less than $40K,Blue,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,39.0,61.121179926254605,0.4086918476005651,3.199360127974405
0,43,M,4,Unknown,Married,$40K - $60K,Blue,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,39.75,76.30773076682706,0.19980360009759449,3.199360127974405
0,57,M,4,Graduate,Married,$80K - $120K,Blue,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,53.166666666666664,55.890861040677116,0.08121431856697879,9.330223258913696
0,52,M,1,Graduate,Married,$80K - $120K,Blue,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,48.416666666666664,46.410399694126646,0.4253368125776785,11.329556814395202
0,47,M,2,Doctorate,Single,Less than $40K,Blue,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,43.916666666666664,46.65479203774883,0.46151454049009566,15.992003998001
0,44,F,3,Graduate,Single,$40K - $60K,Blue,3,1,0,11749.0,788,10961.0,0.688,1178,27,0.929,0.067,40.833333333333336,43.628013777267505,0.1002638437089247,8.997000999666778
0,53,M,2,High School,Divorced,$60K - $80K,Blue,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271,50.0,38.11391869543479,0.1278214719693703,5.198960207958408
0,45,M,4,College,Divorced,$60K - $80K,Blue,5,1,0,10408.0,1186,9222.0,1.689,2560,42,1.211,0.114,41.666666666666664,60.95092973976811,0.24596461895036328,8.398320335932812
0,63,F,1,College,Married,Unknown,Blue,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,60.0,57.13596082893693,0.41769588664081503,4.832527912014664
0,39,F,2,Post-Graduate,Single,Less than $40K,Blue,4,2,2,6205.0,2517,3688.0,0.939,1204,19,0.727,0.406,36.75,63.365086048102725,0.19403703561046967,4.7488127968008
1,48,F,5,High School,Married,Less than $40K,Blue,1,3,3,8025.0,0,8025.0,0.654,673,18,0.8,0.0,44.833333333333336,37.386811843786454,0.08386291789870182,17.982017982017982
0,51,M,1,Unknown,Single,$120K +,Blue,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,47.5,62.829842786511854,0.1251659888041181,2.9995000833194467
0,54,M,4,Graduate,Married,$80K - $120K,Blue,2,3,2,14926.0,2517,12409.0,1.996,1576,25,1.5,0.169,51.166666666666664,63.03747850085996,0.10558755824818718,12.493753123438282
0,59,F,1,Graduate,Single,Less than $40K,Blue,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178,56.0,60.84695765211739,0.19210730984888558,6.664445184938354
